david	annotation-0	USA	yoruba_6:3138-3140	NIL	LOC	NAM	1.0	
david	annotation-1	Nigerian Centre for Disease Control	yoruba_6:37515-37549	NIL	ORG	NAM	1.0	
david	annotation-2	Sylvanus Adiewere Nsofor	yoruba_6:3150-3173	NIL	PER	NAM	1.0	
david	annotation-3	Shínà Olúkòlu	yoruba_6:56948-56960	NIL	PER	NAM	1.0	
david	annotation-4	Ekiti	yoruba_6:42279-42283	NIL	LOC	NAM	1.0	
david	annotation-5	Àlí	yoruba_6:35507-35509	NIL	PER	NAM	1.0	
david	annotation-6	Kaduna	yoruba_6:27680-27685	NIL	LOC	NAM	1.0	
david	annotation-7	Tuesday 6th April	yoruba_6:23785-23801	NIL	DATE	NAM	1.0	
david	annotation-8	Niger	yoruba_6:17146-17150	NIL	LOC	NAM	1.0	
david	annotation-9	lọ́jọ́ Ajé	yoruba_6:25567-25576	NIL	DATE	NAM	1.0	
david	annotation-10	Keystone bank	yoruba_6:44217-44229	NIL	ORG	NAM	1.0	
david	annotation-11	Èkó	yoruba_6:49306-49308	NIL	LOC	NAM	1.0	
david	annotation-12	Tashkent	yoruba_6:65493-65500	NIL	LOC	NAM	1.0	
david	annotation-13	Abba	yoruba_6:2097-2100	NIL	PER	NAM	1.0	
david	annotation-14	Ọ̀yọ́	yoruba_6:14700-14704	NIL	LOC	NAM	1.0	
david	annotation-15	global network of Editors	yoruba_6:2707-2731	NIL	ORG	NAM	1.0	
david	annotation-16	ọjọ́ Ìsẹ́gun	yoruba_6:41472-41483	NIL	DATE	NAM	1.0	
david	annotation-17	Nigeria	yoruba_6:24112-24118	NIL	LOC	NAM	1.0	
david	annotation-18	APC	yoruba_6:61608-61610	NIL	ORG	NAM	1.0	
david	annotation-19	lọ́jọ́ Sátidé	yoruba_6:70243-70255	NIL	DATE	NAM	1.0	
david	annotation-20	Dennis Christensen	yoruba_6:72249-72266	NIL	PER	NAM	1.0	
david	annotation-21	NCDC	yoruba_6:47394-47397	NIL	ORG	NAM	1.0	
david	annotation-22	Akwa Ibom	yoruba_6:1023-1031	NIL	LOC	NAM	1.0	
david	annotation-23	Ọ̀yọ́	yoruba_6:19156-19160	NIL	LOC	NAM	1.0	
david	annotation-24	Ọ̀yọ́	yoruba_6:18909-18913	NIL	LOC	NAM	1.0	
david	annotation-25	ẹgbẹ́ àwọn akọ̀ròyìn àgbáyé	yoruba_6:2674-2700	NIL	ORG	NAM	1.0	
david	annotation-26	Chikwe Ihekweazu	yoruba_6:30980-30995	NIL	PER	NAM	1.0	
david	annotation-27	Twitter	yoruba_6:23721-23727	NIL	ORG	NAM	1.0	
david	annotation-28	Darius Dickson Ishaku	yoruba_6:2489-2509	NIL	PER	NAM	1.0	
david	annotation-29	ọjọ́ kẹtàdínlọ́gbọ̀n ,osù kẹrin, ọdún, 2020	yoruba_6:5887-5929	NIL	DATE	NAM	1.0	
david	annotation-30	Nàíjíríà	yoruba_6:23093-23100	NIL	LOC	NAM	1.0	
david	annotation-31	NSCDC	yoruba_6:53717-53721	NIL	ORG	NAM	1.0	
david	annotation-32	NCDC	yoruba_6:27244-27247	NIL	ORG	NAM	1.0	
david	annotation-33	Tel Aviv	yoruba_6:76762-76769	NIL	LOC	NAM	1.0	
david	annotation-34	ìjọba orílẹ̀ èdè Britain	yoruba_6:9767-9790	NIL	ORG	NAM	1.0	
david	annotation-35	Abdulkadir Saidu	yoruba_6:41433-41448	NIL	PER	NAM	1.0	
david	annotation-36	Israel	yoruba_6:76276-76281	NIL	LOC	NAM	1.0	
david	annotation-37	Kánò	yoruba_6:3494-3497	NIL	LOC	NAM	1.0	
david	annotation-38	Ilé- isẹ ọlọ́pàá ní ìpínlẹ̀  Ọ̀yọ́	yoruba_6:12843-12876	NIL	ORG	NAM	1.0	
david	annotation-39	Dàmátúrú	yoruba_6:49590-49597	NIL	LOC	NAM	1.0	
david	annotation-40	Ògùn	yoruba_6:7112-7115	NIL	LOC	NAM	1.0	
david	annotation-41	Kenneth Cook	yoruba_6:68300-68311	NIL	PER	NAM	1.0	
david	annotation-42	Muhammadu Buhari	yoruba_6:3620-3635	NIL	PER	NAM	1.0	
david	annotation-43	Berlin	yoruba_6:69272-69277	NIL	LOC	NAM	1.0	
david	annotation-44	China	yoruba_6:10808-10812	NIL	LOC	NAM	1.0	
david	annotation-45	Nàíjíríà	yoruba_6:45246-45253	NIL	LOC	NAM	1.0	
david	annotation-46	owurọ lọjọRu	yoruba_6:23167-23178	NIL	DATE	NAM	1.0	
david	annotation-47	Kristi	yoruba_6:65675-65680	NIL	PER	NAM	1.0	
david	annotation-48	Shehu	yoruba_6:1798-1802	NIL	PER	NAM	1.0	
david	annotation-49	Twitter	yoruba_6:27274-27280	NIL	ORG	NAM	1.0	
david	annotation-50	Omasi	yoruba_6:33373-33377	NIL	LOC	NAM	1.0	
david	annotation-51	Kàdúná	yoruba_6:27579-27584	NIL	LOC	NAM	1.0	
david	annotation-52	àríwá orílẹ̀-èdè Mòsáńbíìkì	yoruba_6:73456-73482	NIL	LOC	NAM	1.0	
david	annotation-53	Ọ̀yọ́	yoruba_6:58671-58675	NIL	LOC	NAM	1.0	
david	annotation-54	Mamman	yoruba_6:56443-56448	NIL	PER	NAM	1.0	
david	annotation-55	Izala religious movement  lórílẹ̀ èdè Nàíjíríà	yoruba_6:2949-2994	NIL	ORG	NAM	1.0	
david	annotation-56	ìjọba Britain	yoruba_6:9659-9671	NIL	ORG	NAM	1.0	
david	annotation-57	Twitter	yoruba_6:42677-42683	NIL	ORG	NAM	1.0	
david	annotation-58	Ọ̀yọ́	yoruba_6:15108-15112	NIL	LOC	NAM	1.0	
david	annotation-59	Ògùn	yoruba_6:42762-42765	NIL	LOC	NAM	1.0	
david	annotation-60	lọ́jọ́ Àìkú	yoruba_6:1632-1642	NIL	DATE	NAM	1.0	
david	annotation-61	Federal Capital Territory	yoruba_6:964-988	NIL	LOC	NAM	1.0	
david	annotation-62	Àbújá	yoruba_6:6952-6956	NIL	LOC	NAM	1.0	
david	annotation-63	April	yoruba_6:73405-73409	NIL	DATE	NAM	1.0	
david	annotation-64	Zanna Baba Shehu Arjinoma	yoruba_6:1605-1629	NIL	PER	NAM	1.0	
david	annotation-65	ìwọ oòrùn Àríwá	yoruba_6:50747-50761	NIL	LOC	NAM	1.0	
